Garage_Cars,Gr_Liv_Area,Total_Bsmt_SF,Exter_Qual_Typical,First_Flr_SF,Year_Built,Second_Flr_SF,Fireplace_Qu_No_Fireplace,Wood_Deck_SF,Central_Air_Y
2,1651,1606,1,1651,1986,0,0,192,1
2,1803,1134,1,1803,1957,0,0,0,1
2,1664,1664,1,1664,1978,0,1,0,1
2,1575,1575,0,1575,1992,0,1,0,1
3,2633,2633,0,2633,2001,0,0,314,1
2,1208,1187,0,1208,2006,0,1,105,1
2,1456,855,1,855,1977,601,0,0,1
2,1434,1454,0,1434,2001,0,0,290,1
2,912,912,1,912,1965,0,1,0,1
1,904,884,0,904,1926,0,1,0,1
2,1285,1243,1,1285,1977,0,0,375,1
2,1189,1189,1,1189,1997,0,1,0,1
0,698,698,1,698,1947,0,1,0,1
0,1080,1080,1,1080,2004,0,1,0,1
2,1558,864,1,1558,1975,0,1,140,1
1,1250,686,1,686,1918,564,1,207,1
3,3279,1650,0,1690,2003,1589,0,503,1
2,1241,1241,0,1241,2006,0,1,0,1
2,1482,650,1,832,1920,650,1,0,1
2,1626,1602,0,1626,1994,0,0,424,1
2,1008,1008,1,1008,1963,0,1,0,1
1,1091,384,1,1091,1993,0,1,280,1
3,4316,2444,0,2444,1994,1872,0,382,1
0,1142,1142,1,1142,2005,0,1,4,1
2,1092,525,1,525,1973,567,1,0,1
2,1983,978,0,1005,1999,978,0,0,1
1,1138,588,1,1138,1958,0,1,224,1
2,720,624,1,720,1928,0,1,106,1
2,1362,796,1,796,1993,566,1,40,1
1,1344,1024,1,1344,1958,0,0,316,1
2,925,912,0,925,1965,0,1,233,1
2,1958,779,0,1029,1994,929,0,202,1
1,1717,901,1,1125,1940,592,0,0,1
2,1372,1372,0,1372,2007,0,1,0,1
2,1236,912,1,1236,1957,0,1,0,1
1,1050,1050,1,1050,1956,0,1,0,1
3,2576,1234,0,1264,2006,1312,0,324,1
2,1586,960,0,962,1999,624,1,169,1
1,1377,1377,1,1377,1960,0,0,0,1
3,2000,2000,0,2000,2004,0,1,168,1
0,708,420,0,708,1940,0,1,164,1
0,864,864,1,864,1925,0,1,0,0
2,1764,850,0,886,1999,878,0,120,1
2,2294,741,1,1497,1963,797,0,0,1
2,1604,926,1,926,1998,678,1,100,1
2,1229,561,1,561,1980,668,0,154,1
2,1586,1362,1,1586,1979,0,0,192,1
2,1494,1482,0,1494,1998,0,0,402,1
2,1314,1314,0,1314,2006,0,0,0,1
1,864,864,1,864,1967,0,1,0,1
1,992,530,1,530,1970,462,1,112,1
0,720,720,1,720,1920,0,1,0,0
2,1604,1604,0,1604,2006,0,0,123,1
3,1612,796,0,796,2008,816,1,0,1
2,1806,780,1,993,1964,813,1,0,1
2,1337,1337,0,1337,2003,0,1,0,1
2,2207,1947,1,2207,1970,0,0,301,1
2,1392,1392,1,1392,1968,0,0,0,1
1,1188,1188,1,1188,1962,0,1,261,1
2,2554,718,1,1576,1890,978,1,0,1
2,1478,1454,1,1478,1991,0,0,114,1
2,1987,1986,0,1987,1994,0,0,262,1
2,1003,1003,1,1003,1984,0,1,120,1
2,2014,716,0,1007,1900,1007,1,0,1
1,886,190,1,886,1938,0,1,144,1
1,987,483,1,483,1973,504,1,52,1
3,1542,1542,0,1542,2007,0,0,168,1
2,1119,835,0,1119,2004,0,1,100,1
1,952,952,1,952,1968,0,1,0,1
1,1360,803,1,803,1938,557,1,0,1
2,1278,1278,0,1278,2006,0,1,0,1
3,1574,1574,0,1574,2006,0,0,144,1
2,1490,745,0,745,2005,745,0,36,1
2,1496,1296,0,1496,1960,0,1,0,1
2,1501,744,1,757,1999,744,0,0,1
2,1403,1381,0,1403,2000,0,1,0,1
2,1062,1029,1,1062,1976,0,0,120,1
1,1200,768,1,768,1946,432,1,0,1
3,2501,1242,0,1251,1995,1250,0,192,1
2,1073,1073,1,1073,1965,0,1,0,1
1,1479,864,1,864,1969,615,1,287,1
1,1134,1010,1,1134,1960,0,1,0,1
2,1094,1094,0,1094,2003,0,1,0,1
2,1456,728,0,728,2005,728,0,0,1
1,1057,1057,1,1057,1955,0,1,0,1
3,1746,698,0,698,2006,1048,0,0,1
2,1728,1884,0,1728,2007,0,0,0,1
2,1489,1489,0,1489,2006,0,0,0,1
4,2787,1168,1,1168,2000,1619,0,312,1
3,2649,1479,0,1515,2001,1134,0,0,1
1,992,381,1,992,1954,0,1,60,1
1,865,660,1,740,1920,125,0,0,1
2,1872,1299,0,1299,2001,573,0,160,1
2,1512,756,0,756,2000,756,1,0,1
0,1152,0,1,1152,1955,0,1,0,0
3,2696,1264,0,1282,2007,1414,0,120,1
0,936,936,1,936,1920,0,0,51,1
2,1226,1226,0,1226,1978,0,0,223,1
2,1320,636,1,636,1994,684,1,0,1
2,2601,612,1,990,1921,1611,1,183,1
0,1092,546,1,546,1970,546,1,0,1
3,2640,2171,1,1392,1925,1248,0,631,1
2,1512,756,0,756,2000,756,0,0,1
0,819,610,1,819,1919,0,1,0,0
1,1480,1080,1,1080,1951,400,0,0,0
0,3395,1440,0,1440,1914,1440,1,0,1
2,1060,1040,1,1060,1976,0,0,100,1
1,936,896,1,936,1962,0,0,24,1
1,1108,637,1,1108,1930,0,0,0,1
0,1452,736,1,736,1920,716,1,0,1
2,2084,956,0,956,2004,1128,1,0,1
2,954,911,1,954,1976,0,1,0,1
3,2624,1370,1,1370,1918,1254,0,0,0
2,2417,1288,0,1301,1991,1116,0,127,1
2,1220,836,1,1220,1951,0,1,0,1
2,1342,698,0,698,2003,644,0,100,1
2,1422,1422,0,1422,2004,0,1,192,1
2,1603,784,1,819,1923,784,0,0,1
2,1320,630,1,630,1993,690,1,0,1
0,864,864,1,864,1914,0,1,0,0
1,1295,0,0,1295,1986,0,1,0,1
2,1127,1127,1,1127,1976,0,0,0,1
2,1709,1698,0,1709,1999,0,0,97,1
0,912,0,1,672,1947,240,1,0,0
2,1561,1561,0,1561,2005,0,0,203,1
2,1232,616,1,616,1910,616,1,280,1
2,1137,1112,1,1137,1987,0,0,125,1
1,924,924,1,924,1952,0,1,0,1
1,987,483,1,483,1972,504,1,0,1
0,1864,1020,1,978,1902,886,1,0,0
2,1573,756,0,769,2000,804,1,0,1
2,1842,985,0,985,2000,857,0,193,1
3,2531,1318,0,1328,1995,1203,0,222,1
2,1200,600,0,600,2004,600,1,0,1
1,1290,554,1,736,1900,554,1,38,1
3,2868,1992,0,1992,2005,876,0,214,1
1,875,715,1,875,1931,0,1,48,1
2,2016,0,0,1288,1880,728,0,0,1
2,1296,0,1,1296,1967,0,1,0,1
2,1496,1496,0,1496,2007,0,1,168,1
2,1671,959,1,959,2000,712,0,0,1
1,1091,1091,1,1091,1951,0,0,66,0
1,928,928,1,928,1956,0,1,261,1
2,1429,1144,1,1429,1960,0,0,216,1
1,1337,832,1,832,1956,505,1,0,1
1,1082,1082,1,1082,1948,0,0,0,1
1,1608,1396,1,1608,1961,0,1,152,0
1,1073,1073,1,1073,2004,0,1,0,1
3,3086,666,1,1308,1935,1778,1,0,1
2,1230,440,1,682,1910,548,1,74,1
3,1680,1555,0,1680,2009,0,0,185,1
2,1140,1300,1,1140,1920,0,1,0,1
0,1092,546,1,546,1970,546,1,0,1
0,1534,736,1,751,1895,783,1,0,1
0,1092,546,1,546,1970,546,1,187,1
1,887,864,1,887,1984,0,1,140,1
3,1780,1780,0,1780,2004,0,0,144,1
2,1960,960,1,960,1952,1000,1,0,1
3,2520,1203,0,1214,1995,1306,0,224,1
2,1312,784,1,900,1947,412,1,0,1
1,1308,728,0,976,1940,332,0,0,1
3,1615,1615,0,1615,2007,0,0,168,1
1,1268,832,1,832,1938,436,0,0,1
2,1358,1350,0,1358,2007,0,0,192,1
1,1232,600,1,608,1939,624,0,0,1
2,1299,1001,1,1299,1979,0,0,84,1
1,968,0,1,968,1956,0,1,0,1
2,1395,1395,1,1395,1963,0,0,657,1
2,1548,952,0,952,1925,596,1,74,0
2,1621,1208,0,1621,1984,0,1,108,1
3,1344,624,1,624,1916,720,1,0,0
2,882,882,1,882,1970,0,1,240,1
1,1328,1350,1,1328,1959,0,0,0,1
2,1177,1153,1,1177,1984,0,1,204,1
2,1714,923,1,947,1999,767,0,256,1
2,1336,1288,1,1336,1969,0,0,312,1
2,1756,872,0,888,1996,868,1,144,1
2,1384,1348,0,1384,1996,0,1,0,1
2,1607,960,0,962,1999,645,1,169,1
1,987,483,1,483,1973,504,1,0,1
2,1456,855,1,855,1975,601,0,173,1
1,1383,1383,1,1383,1960,0,1,0,1
1,1050,1050,1,1050,1961,0,1,0,1
1,904,876,1,904,1966,0,1,0,1
3,1698,1698,0,1698,2005,0,0,192,1
2,1610,1124,1,1610,1972,0,0,202,1
0,1092,546,1,546,1970,546,1,0,1
2,1760,1077,1,981,1910,779,0,120,1
2,2497,2461,0,2497,1981,0,0,266,1
3,1802,1802,0,1802,2006,0,0,158,1
2,2140,744,1,825,1965,1315,0,0,1
2,1696,835,0,835,2003,861,1,143,1
2,1337,1405,0,1337,1999,0,0,203,1
3,1808,1774,0,1808,2008,0,0,200,1
1,1375,1240,1,1375,1956,0,0,0,1
2,1208,1208,0,1208,2007,0,1,105,1
2,1430,384,1,774,1999,656,0,0,1
4,1436,892,1,1254,1922,182,0,0,1
3,1499,904,1,904,1946,595,0,0,1
2,1390,1705,1,1390,1957,0,0,0,1
2,1034,450,1,1034,1978,0,0,311,1
1,901,901,1,901,1954,0,1,0,1
1,1074,663,1,1074,1950,0,0,0,1
2,1882,0,1,964,1981,918,0,0,1
3,1530,1530,0,1530,2007,0,0,212,1
2,1797,939,0,939,2006,858,1,144,1
1,1431,1099,1,1431,1962,0,0,64,1
2,1162,1162,0,1162,2007,0,1,0,1
0,816,624,1,816,1910,0,0,0,1
1,1348,884,1,884,1925,464,0,0,1
3,2039,929,0,2039,1941,0,0,0,1
2,2035,884,0,884,2001,1151,0,144,1
2,1478,1478,1,1478,1957,0,0,114,1
2,1232,1232,1,1232,1984,0,1,0,1
2,1459,1459,0,1459,2002,0,0,192,1
2,1665,810,0,810,2001,855,1,0,1
1,928,928,1,928,1957,0,1,0,1
0,1006,1006,1,1006,1959,0,1,0,1
1,1043,938,1,1043,1947,0,0,125,1
0,1184,658,1,658,1910,526,1,0,1
3,1258,1258,0,1258,2006,0,0,144,1
1,1344,672,1,672,1920,672,1,0,1
2,1437,1188,1,1437,1956,0,0,304,1
2,952,952,1,952,1951,0,1,0,1
2,1604,984,1,984,1941,620,1,0,1
1,825,825,1,825,1954,0,1,0,1
2,1574,796,1,790,1976,784,0,306,1
2,1336,1336,0,1336,2005,0,1,136,1
1,1040,1040,1,1040,1959,0,1,140,1
3,3390,1528,0,1528,2006,1862,0,204,1
2,1657,1657,1,1657,1970,0,0,0,1
2,1657,832,0,832,1994,825,1,144,1
1,1475,757,1,925,1977,550,0,104,1
1,1387,811,1,811,1954,576,1,0,1
1,1124,1124,1,1124,1956,0,0,0,1
2,2872,1330,1,1542,1977,1330,0,550,1
1,1582,952,1,994,1938,588,0,189,1
0,796,796,1,796,1922,0,1,0,0
1,1310,617,1,865,1924,445,1,0,1
2,1716,858,0,858,2005,858,1,0,1
3,2490,2458,0,2490,2005,0,0,70,1
2,1564,650,1,888,1980,676,0,0,1
1,1330,396,0,665,1910,665,1,0,1
3,1416,876,1,876,1915,540,0,418,1
2,1625,1625,1,1625,1979,0,0,136,1
2,1135,560,0,575,1936,560,1,256,1
1,1079,570,1,617,1948,462,0,135,1
2,1664,1529,1,1664,1978,0,0,0,1
1,984,984,1,984,1930,0,1,0,1
2,2127,1223,0,1223,1994,904,0,171,1
1,972,972,1,972,1955,0,1,0,1
1,1368,684,1,684,1910,684,1,0,0
2,858,858,1,858,1982,0,1,120,1
0,1092,546,1,546,1970,546,1,200,1
2,1338,1338,0,1338,2001,0,1,0,1
1,572,572,1,572,1925,0,1,0,0
3,1468,1468,0,1468,2008,0,0,192,1
2,1176,698,0,786,1937,390,1,210,1
2,3082,824,1,1687,1920,998,0,136,1
3,1555,1373,0,1555,2007,0,0,143,1
2,832,678,1,832,1923,0,0,0,0
2,900,900,1,900,1951,0,1,222,1
2,1440,720,1,720,1964,720,0,0,1
2,1358,1358,0,1358,2005,0,0,192,1
3,2312,1177,0,1223,1999,1089,0,298,1
2,1718,851,1,867,1927,851,0,291,1
2,1677,827,0,827,2001,850,1,0,1
1,1017,346,1,709,1900,308,1,0,1
0,1195,1195,1,1195,1946,0,1,118,0
3,1933,894,0,894,2007,1039,0,100,1
2,1989,1065,0,1091,2002,898,0,199,1
2,1792,963,0,963,2001,829,0,0,1
2,1603,761,0,810,1992,793,1,0,1
1,1322,672,1,899,1939,423,1,0,1
2,1472,384,0,802,1991,670,0,164,1
2,2090,1190,0,1190,1984,900,0,219,1
3,1800,1800,0,1800,2007,0,0,210,1
1,1248,912,1,912,1930,336,1,0,1
2,1846,1836,0,1846,2006,0,0,0,1
1,1092,546,1,546,1970,546,1,0,1
2,1266,1257,0,1266,2005,0,0,38,1
2,1625,1573,0,1625,2006,0,0,123,1
1,945,945,1,945,1973,0,0,174,1
3,2224,1462,0,1462,2004,762,0,184,1
2,2087,832,1,976,1966,1111,1,133,1
2,2075,1148,0,1091,1993,984,0,235,1
2,1644,1518,0,1644,1989,0,0,80,1
1,1465,992,1,992,1939,473,0,0,1
1,1029,1029,1,1029,1961,0,1,64,1
0,1347,1117,1,820,1910,527,1,85,1
2,1632,800,1,800,1966,832,1,0,1
2,1072,547,1,1072,2005,0,1,0,1
2,1534,1524,0,1534,2006,0,0,168,1
1,900,882,1,900,1967,0,1,0,1
1,1357,1019,1,1357,1959,0,0,0,1
2,1517,792,1,792,1929,725,0,0,1
2,848,848,0,848,2004,0,0,149,1
1,1774,552,1,904,1961,611,0,290,1
1,1626,988,1,988,1954,638,1,366,1
1,914,914,1,914,1970,0,1,120,1
2,1374,384,0,744,2004,630,0,100,1
2,1400,1400,0,1400,2005,0,1,144,1
1,1360,680,1,680,1910,680,1,192,0
1,950,950,1,950,1971,0,1,0,1
2,1734,912,1,1085,1962,649,0,0,1
2,1762,596,1,998,1920,764,1,36,1
3,2290,2320,0,2290,2007,0,0,192,1
1,882,720,1,882,1952,0,1,0,1
2,1891,1224,1,1287,1978,604,0,0,1
1,1609,1000,1,1068,1953,541,1,0,1
2,1567,1567,1,1567,1977,0,0,264,1
3,2646,1347,0,1372,1993,1274,0,340,1
3,2140,2140,0,2140,2006,0,1,136,1
2,1337,1337,0,1337,1989,0,0,0,1
2,1670,825,1,845,1971,825,1,0,1
1,672,672,1,672,1940,0,1,168,1
2,2288,908,1,1316,1977,972,0,321,1
2,1464,520,1,1464,1963,0,0,302,1
3,1856,1856,0,1856,2010,0,0,113,1
1,987,483,1,483,1970,504,1,0,1
2,1026,940,1,1026,1978,0,1,0,1
2,1364,1364,0,1364,2005,0,0,192,1
1,1296,1107,1,1296,1924,0,0,0,0
2,1336,1121,1,1336,1958,0,0,80,1
3,2184,1104,0,1130,2008,1054,0,0,1
1,1668,672,1,1195,1945,473,1,210,1
2,845,845,1,845,1982,0,1,0,1
4,2634,1248,1,1338,1969,1296,1,0,1
1,1092,525,1,525,1971,567,1,0,1
1,896,0,1,896,1946,0,1,0,1
1,1022,1022,1,1022,1910,0,1,0,0
2,1287,957,1,1287,1977,0,0,302,1
0,1828,859,1,942,1923,886,1,174,1
2,1680,856,1,936,1910,744,0,56,1
2,1414,1184,0,1414,1958,0,0,0,1
2,1392,689,0,703,2007,689,1,0,1
2,810,782,1,810,1971,0,1,0,1
2,1042,1042,1,1042,1965,0,1,192,1
1,1092,546,1,546,1973,546,1,120,1
1,1144,864,1,1144,1961,0,0,165,1
1,1073,1073,1,1073,1967,0,1,0,1
2,1869,1869,0,1869,2007,0,0,210,1
2,1593,839,1,864,2004,729,0,100,1
3,1776,1732,0,1776,2006,0,0,0,1
1,882,882,1,882,1956,0,1,0,1
2,1725,539,1,1040,1979,685,0,0,1
2,1580,1244,1,1580,1959,0,0,0,1
4,1622,1249,1,1622,1961,0,0,439,1
2,1875,675,1,1109,1975,766,0,48,1
3,2197,1080,0,1108,1993,1089,0,385,1
2,1840,944,0,944,2001,896,1,0,1
2,2014,912,0,1072,2003,942,1,124,1
2,1518,1518,0,1518,2003,0,0,185,1
2,1565,1560,0,1565,2005,0,0,196,1
2,1086,1086,1,1086,1954,0,1,0,1
1,725,630,1,725,1890,0,1,0,1
2,1690,560,0,930,1910,760,1,0,1
2,1280,1280,0,1280,1992,0,1,0,1
2,1142,1142,1,1142,1976,0,0,536,1
3,2097,2077,0,2097,2005,0,0,192,1
1,804,788,1,804,1940,0,0,0,1
2,1384,1015,1,1384,1956,0,1,75,1
2,2555,588,1,1423,1922,748,0,431,1
2,1294,1286,0,1294,2006,0,0,168,1
2,1978,832,1,1098,1968,880,0,0,1
2,1078,1078,1,1078,1971,0,0,0,1
2,1298,1298,0,1298,1985,0,0,165,1
2,960,960,1,960,1955,0,1,0,1
3,1572,1572,1,1572,1963,0,0,0,1
0,1991,957,1,1034,1895,957,1,0,0
2,1212,1212,0,1212,2001,0,1,356,1
2,1045,1045,1,1045,1962,0,1,0,1
2,1680,880,0,1680,1988,0,0,292,1
0,1025,1025,1,1025,1962,0,1,96,1
1,1955,1151,1,1151,1958,804,1,0,1
2,1628,384,1,958,1996,670,0,48,1
2,1924,1086,0,1086,1998,838,0,208,1
1,1600,0,1,1600,1951,0,1,0,1
1,1244,1244,1,1244,1957,0,0,0,1
2,1874,1058,0,1058,2000,816,0,0,1
2,1037,1037,1,1037,1974,0,1,136,1
3,1546,1546,0,1546,2005,0,1,144,1
2,2263,1141,0,1165,1998,1098,0,144,1
2,882,882,1,882,1972,0,1,96,1
1,930,0,1,930,1946,0,1,0,1
1,986,960,1,986,1926,0,0,0,0
1,902,876,1,902,1967,0,1,0,1
2,1982,572,1,1182,1986,800,0,400,1
3,2122,2108,0,2122,2007,0,0,130,1
1,1728,704,1,1024,1949,704,0,245,1
3,1034,1012,1,1034,1976,0,1,0,1
2,2263,1055,0,1055,2001,1208,0,0,1
1,1550,817,1,940,1920,610,0,0,1
1,1113,1143,1,1113,1976,0,0,370,1
1,1210,672,1,832,1941,378,1,0,1
3,1978,1978,0,1978,2007,0,0,308,1
2,2031,1128,0,1128,2002,903,0,0,1
2,2377,1313,1,1313,1915,0,0,0,1
2,1229,561,1,561,1980,668,0,150,1
2,2353,845,0,1153,1980,1200,0,288,1
2,1224,612,0,612,2009,612,1,0,1
2,2362,2002,0,2362,1980,0,0,180,1
2,1126,1126,1,1126,1977,0,1,180,1
2,1838,1838,0,1838,2007,0,0,154,1
2,1110,1097,1,1110,1978,0,0,303,1
1,1218,672,1,672,1972,546,1,0,1
2,968,968,0,968,1923,0,1,0,1
2,1868,585,1,1140,1984,728,0,268,1
2,960,960,1,960,1970,0,1,0,0
2,894,894,1,894,1954,0,1,0,1
2,1416,816,1,1416,1918,0,1,0,1
2,1229,1094,1,1229,1979,0,0,120,1
3,1830,1302,0,1302,2006,528,1,0,1
2,1688,616,1,616,1997,1072,1,403,1
2,1138,1138,1,1138,1960,0,0,0,1
2,1525,1510,0,1525,2006,0,0,100,1
2,2775,1237,0,1521,1893,1254,0,105,1
1,1040,1040,1,1040,1966,0,1,0,1
2,1919,1079,0,1079,2006,840,0,0,1
3,2084,2078,0,2084,2007,0,0,188,1
2,1553,756,0,756,2005,797,1,0,1
2,1474,1632,1,1474,1952,0,0,0,1
2,1363,1385,1,1363,1954,0,0,81,1
2,1120,1040,1,1120,1961,0,1,168,1
2,1734,1734,0,1734,2005,0,1,160,1
3,1652,1652,1,1652,1970,0,1,0,1
2,1334,1334,1,1334,1967,0,1,0,1
1,1078,1078,1,1078,1950,0,1,366,1
1,1818,1040,1,1226,1931,592,0,0,1
3,2494,1290,0,1305,1994,1189,0,200,1
2,1922,0,0,495,2003,1427,0,0,1
3,1792,1792,0,1792,2005,0,0,204,1
2,1774,952,1,1022,1931,752,0,90,1
2,1709,836,1,851,1991,858,1,0,1
2,1636,952,0,952,1998,684,0,0,1
2,1604,926,1,926,1997,678,0,0,1
2,848,848,0,848,2004,0,0,149,1
1,732,732,1,732,1952,0,1,0,1
2,1290,1282,0,1290,2007,0,0,168,1
2,1721,1331,1,1721,1957,0,0,0,1
1,884,884,1,884,1951,0,1,0,1
2,854,832,1,854,1929,0,1,48,1
2,883,828,1,883,1992,0,0,100,1
2,1988,1104,0,1104,1966,884,0,0,1
2,864,864,1,864,1958,0,1,0,1
1,1274,728,1,728,1939,546,1,0,1
1,1143,1143,1,1143,1959,0,1,0,1
0,1768,1768,1,1768,1968,0,1,0,0
2,1368,1368,0,1368,2005,0,0,132,1
2,1167,1158,1,1167,1992,0,1,120,1
2,1595,663,1,774,1915,821,0,49,1
3,2283,1008,0,1008,2003,1275,0,120,1
1,1242,1242,1,1242,1960,0,1,0,1
2,1674,814,0,814,2000,860,1,0,1
1,792,624,0,792,1923,0,1,0,1
2,2683,930,0,1364,1990,1319,0,237,1
2,1921,1921,1,1921,1964,0,1,0,1
2,1828,1822,0,1828,2002,0,0,194,1
1,864,864,1,864,1962,0,1,58,1
1,967,967,1,967,1920,0,0,0,1
2,1655,763,1,763,1993,892,0,157,1
2,1103,1103,1,1103,1974,0,1,295,1
1,1755,930,1,1230,1930,525,0,0,1
3,1590,1570,0,1590,2005,0,1,176,1
2,1378,1378,0,1378,2004,0,0,160,1
1,1089,1089,1,1089,1954,0,0,328,1
2,1378,689,1,689,1928,689,0,0,1
1,1930,720,1,1146,1927,784,1,0,1
2,1986,768,1,1186,1965,800,0,0,1
2,1680,840,0,840,2004,840,1,0,1
2,914,870,0,914,1996,0,1,0,1
0,858,858,1,858,1958,0,1,117,1
3,2468,1136,0,1136,2004,1332,0,184,1
2,1501,1490,0,1501,1999,0,1,144,1
2,1430,1430,1,1430,2004,0,1,0,1
2,1770,900,1,884,1968,886,1,0,1
2,2318,960,0,960,2005,1358,0,0,1
2,764,680,1,764,1925,0,1,0,0
2,864,864,1,864,1971,0,1,0,1
2,1482,954,1,1482,1954,0,0,0,1
2,1502,1488,0,1502,1985,0,1,0,1
1,1336,1165,1,1336,1953,0,0,0,1
2,2149,1434,0,1518,2003,631,0,168,1
0,1020,780,1,780,1875,240,1,0,0
2,908,822,1,908,1940,0,1,284,1
2,1386,672,1,672,1978,714,0,335,1
2,1056,1056,1,1056,1955,0,1,264,0
3,2944,994,0,1599,1977,1345,0,140,1
2,948,948,1,948,1952,0,1,0,1
2,2020,1128,0,1142,1995,878,0,0,1
3,2127,1104,0,912,1991,1215,0,72,1
2,1788,1753,0,1788,2001,0,0,202,1
2,1082,973,1,1082,1969,0,1,160,1
2,1743,702,0,1041,1968,702,0,224,1
2,1218,1218,0,1218,2009,0,1,0,1
1,1090,720,1,760,1940,330,1,0,1
2,1295,1057,0,1295,1978,0,0,133,1
2,1320,1232,1,1320,1971,0,0,0,1
2,1196,572,1,848,1940,348,0,0,1
0,1800,1800,1,1800,1961,0,1,0,0
1,1691,1026,1,1026,1924,665,0,0,1
1,926,902,1,926,1977,0,0,319,1
2,1208,1208,0,1208,2005,0,1,105,1
1,941,912,1,941,1967,0,0,64,1
2,1358,1348,0,1358,2002,0,0,68,1
2,1372,1363,0,1372,2007,0,1,192,1
1,936,936,1,936,1954,0,1,0,1
2,1540,754,0,754,1994,786,1,140,1
1,936,936,1,936,1956,0,1,0,1
2,1120,864,0,1120,1966,0,0,0,1
1,1273,1273,1,1273,1960,0,1,483,1
2,2287,1304,0,1304,1953,983,0,0,1
2,1630,868,0,868,2004,762,0,120,1
1,990,990,1,990,1994,0,1,256,1
3,2550,1108,0,1148,2006,1402,0,120,1
2,1904,1058,0,1058,2005,846,0,179,1
3,2214,1090,0,1090,1999,1124,0,197,1
1,1316,644,1,672,1926,644,0,0,1
3,1838,1838,1,1838,1997,0,1,160,1
2,784,784,1,784,1928,0,1,0,0
1,1472,702,1,842,1925,630,1,0,1
2,999,944,0,999,1961,0,1,144,1
2,1350,1064,1,1350,1974,0,0,0,1
2,1620,1281,1,1620,1976,0,0,120,1
1,858,858,1,858,1971,0,1,0,1
1,1059,1059,1,1059,1966,0,1,0,1
2,1167,915,1,1167,1920,0,0,0,1
2,1324,1088,1,1324,1965,0,0,0,1
1,1812,864,1,876,1962,936,0,0,1
1,1928,1020,1,908,1910,1020,1,0,0
2,1612,1612,0,1612,2006,0,0,0,1
3,1630,1622,0,1630,2008,0,0,172,1
2,2454,819,1,1312,1879,1142,0,0,1
1,960,960,1,960,1920,0,1,0,1
2,1836,1860,0,1836,2004,0,0,120,1
2,1895,712,0,1086,1994,809,0,143,1
2,1790,998,1,1790,1957,0,0,0,1
2,1188,1188,1,1188,1959,0,1,0,1
2,846,720,1,846,1920,0,1,0,0
1,1073,1073,1,1073,1921,0,1,0,1
1,1314,1314,1,1314,1957,0,1,250,1
1,816,816,1,816,1934,0,0,228,1
2,1069,1069,1,1069,1977,0,1,0,1
2,964,964,1,964,1961,0,0,170,1
3,2772,1776,0,1794,2007,978,0,135,1
2,1324,1228,1,1324,1976,0,0,407,1
3,1828,1298,0,1298,2006,530,1,0,1
2,1061,1054,0,1061,1990,0,1,114,1
3,1214,672,1,694,1915,520,1,216,1
1,1203,709,1,979,1950,224,0,0,1
0,2358,684,1,938,1872,1215,1,0,0
2,1466,1466,1,1466,1959,0,0,0,1
1,2340,1152,0,1188,1941,1152,0,0,1
2,864,864,1,864,1971,0,1,200,1
1,1040,1040,1,1040,1962,0,1,0,1
3,2728,1848,0,1848,2005,880,0,0,1
2,3228,3200,0,3228,1992,0,0,264,1
2,1646,1594,0,1646,2004,0,0,128,1
1,1063,1056,1,1063,1954,0,1,0,1
2,1739,970,0,983,1999,756,1,115,1
1,960,960,1,960,1959,0,1,144,1
1,918,918,1,918,1979,0,0,28,1
2,1663,1364,1,1663,1954,0,0,224,1
2,1405,1405,0,1405,2003,0,0,148,1
2,1200,864,1,1200,1965,0,1,0,1
2,1258,1258,0,1258,1971,0,1,55,1
1,1480,972,0,1044,1920,0,1,0,1
0,1540,572,0,884,1905,656,1,240,1
0,796,796,1,796,1971,0,1,129,1
2,2048,1054,0,1072,2003,976,0,0,1
2,1889,982,1,1008,2000,881,0,0,1
2,1142,1142,0,1142,2005,0,1,90,1
1,1211,952,1,1211,1968,0,0,0,1
2,1432,1360,1,1432,1978,0,0,168,1
1,1111,572,1,572,1926,539,0,0,1
2,1700,1682,0,1700,2003,0,1,192,1
2,1743,966,0,1743,1976,0,0,646,1
2,1671,1427,1,1671,1978,0,0,252,1
1,1376,768,1,968,1941,408,0,0,1
1,874,864,1,874,1971,0,1,0,1
0,2592,1296,1,1296,1923,1296,1,0,0
1,1001,837,0,1001,1930,0,1,154,1
1,816,816,0,816,1982,0,0,0,1
3,1874,955,0,955,2007,919,0,168,1
2,1582,1624,1,1582,1964,0,1,168,1
2,893,845,1,893,1949,0,1,0,1
1,1207,1135,1,1207,1962,0,1,0,1
3,2640,2036,0,2036,2006,604,0,0,1
1,1136,704,1,624,1929,512,1,0,1
2,1908,967,0,993,2002,915,1,135,1
2,1384,384,1,754,1997,630,0,0,1
2,1728,1728,1,1728,1963,0,1,0,1
1,955,955,1,955,1966,0,1,0,1
2,1337,1337,0,1337,2001,0,0,136,1
0,1544,925,0,1000,1890,544,1,231,1
1,1392,689,1,689,1977,703,1,0,1
2,768,768,1,768,1970,0,1,104,1
2,1196,1196,1,1196,1916,0,1,0,1
1,1045,1045,1,1045,1963,0,0,0,1
1,960,672,1,960,1956,0,1,64,1
2,1344,672,1,672,1929,672,0,0,0
2,1604,1604,1,1604,1958,0,1,42,1
1,1008,1008,1,1008,1956,0,1,0,1
2,2167,1192,0,1516,1974,651,0,220,1
